USER_ID,CONTEXT,PREFERENCES
1,1251010,1251515
1,1251010,1251515
1,1501010,1501010
1,1501010,1501010
1,1501010,1501515
1,1501010,1501515
1,1501010,1501515
1,1501010,1501515
1,1751010,1751015
1,1751010,1751515
1,2001010,2001015
1,2001010,2001010
1,2001010,2001505
1,2001010,2001515
1,2001010,2001515
1,2001010,2001515
1,2001010,2001515
1,2001010,2001515
1,2251010,2251010
1,2251010,2251510
2,1251010,1251515
2,1251010,1252020
2,1501010,1501510
2,1501010,1501515
2,1501010,1501515
2,1501010,1502020
2,1501010,1501515
2,1501010,1502020
2,1751010,1751515
2,1751010,1752020
2,2001010,2001510
2,2001010,2001515
2,2001010,2001515
2,2001010,2002020
2,2001010,2001520
2,2001010,2002020
2,2001010,2002015
2,2001010,2002020
2,2251010,2252010
2,2251010,2252015
3,1251010,1251010
3,1251010,1251010
3,1501010,1500005
3,1501010,1500505
3,1501010,1500510
3,1501010,1501010
3,1501010,1500510
3,1501010,1501010
3,1751010,1751005
3,1751010,1751010
3,2001010,2001005
3,2001010,2000505
3,2001010,2001005
3,2001010,2001010
3,2001010,2001005
3,2001010,2001010
3,2001010,2001010
3,2001010,2001010
3,2251010,2251005
3,2251010,2251005
4,1251010,1251020
4,1251010,1251515
4,1501010,1501010
4,1501010,1501010
4,1501010,1501010
4,1501010,1501515
4,1501010,1501015
4,1501010,1501515
4,1751010,1751510
4,1751010,1751515
4,2001010,2001010
4,2001010,2001010
4,2001010,2001510
4,2001010,2001515
4,2001010,2001515
4,2001010,2001515
4,2001010,2001515
4,2001010,2001515
4,2251010,2251010
4,2251010,2251510
5,1251010,1251515
5,1251010,1251515
5,1501010,1501005
5,1501010,1501010
5,1501010,1501515
5,1501010,1501515
5,1501010,1501515
5,1501010,1501515
5,1751010,1751515
5,1751010,1751515
5,2001010,2000510
5,2001010,2001010
5,2001010,2001515
5,2001010,2001515
5,2001010,2001515
5,2001010,2001515
5,2001010,2001515
5,2001010,2001515
5,2251010,2251510
5,2251010,2251510
6,1251010,1251515
6,1251010,1251520
6,1501010,1501015
6,1501010,1501015
6,1501010,1501520
6,1501010,1501520
6,1501010,1501520
6,1501010,1501520
6,1751010,1751520
6,1751010,1751520
6,2001010,2001015
6,2001010,2001015
6,2001010,2001020
6,2001010,2001520
6,2001010,2001020
6,2001010,2001520
6,2001010,2001515
6,2001010,2001520
6,2251010,2251510
6,2251010,2251515
7,1251010,1251520
7,1251010,1252020
7,1501010,1501520
7,1501010,1501520
7,1501010,1501520
7,1501010,1502020
7,1501010,1501520
7,1501010,1502020
7,1751010,1751515
7,1751010,1752020
7,2001010,2001515
7,2001010,2001520
7,2001010,2001515
7,2001010,2002020
7,2001010,2001515
7,2001010,2002020
7,2001010,2001520
7,2001010,2002020
7,2251010,2251515
7,2251010,2252020
8,1251010,1251015
8,1251010,1251015
8,1501010,1500505
8,1501010,1500510
8,1501010,1501010
8,1501010,1501015
8,1501010,1501015
8,1501010,1501015
8,1751010,1751015
8,1751010,1751015
8,2001010,2001010
8,2001010,2000510
8,2001010,2001015
8,2001010,2001015
8,2001010,2001015
8,2001010,2001015
8,2001010,2001015
8,2001010,2001015
8,2251010,2251010
8,2251010,2251010
9,1251010,1251525
9,1251010,1251520
9,1501010,1501015
9,1501010,1501015
9,1501010,1501520
9,1501010,1501520
9,1501010,1501520
9,1501010,1501520
9,1751010,1751520
9,1751010,1751520
9,2001010,2001015
9,2001010,2001015
9,2001010,2001520
9,2001010,2001520
9,2001010,2001520
9,2001010,2001520
9,2001010,2001520
9,2001010,2001520
9,2251010,2251515
9,2251010,2251515
10,1251010,1251520
10,1251010,1251520
10,1501010,1501015
10,1501010,1501015
10,1501010,1501520
10,1501010,1501520
10,1501010,1501520
10,1501010,1501520
10,1751010,1751520
10,1751010,1751520
10,2001010,2001015
10,2001010,2001015
10,2001010,2001520
10,2001010,2001520
10,2001010,2001520
10,2001010,2001520
10,2001010,2001520
10,2001010,2001520
10,2251010,2251515
10,2251010,2251515
11,1251010,1251515
11,1251010,1252015
11,1501010,1501510
11,1501010,1501510
11,1501010,1501510
11,1501010,1502015
11,1501010,1502015
11,1501010,1502015
11,1751010,1751515
11,1751010,1752015
11,2001010,2001505
11,2001010,2001510
11,2001010,2001510
11,2001010,2002015
11,2001010,2001510
11,2001010,2002015
11,2001010,2001515
11,2001010,2002015
11,2251010,2251505
11,2251010,2252010
12,1251010,1252020
12,1251010,1252520
12,1501010,1501515
12,1501010,1502015
12,1501010,1502010
12,1501010,1502020
12,1501010,1502015
12,1501010,1502520
12,1751010,1751515
12,1751010,1752020
12,2001010,2002010
12,2001010,2002015
12,2001010,2002015
12,2001010,2002020
12,2001010,2002020
12,2001010,2002020
12,2001010,2002020
12,2001010,2002020
12,2251010,2252015
